scenario_id,message_text,bias_type,channel,difficulty,tactic_explanation,defense_tip
A001,"This is IT Support. Your account has been flagged for unusual activity. Reset your password immediately using the link below or your access will be revoked.",authority,email,easy,"Impersonates IT authority to create compliance pressure","IT will never ask you to reset passwords via email links. Always go directly to the official portal."
A002,"Message from CEO: I need you to process an urgent wire transfer before end of day. Keep this confidential.",authority,email,medium,"CEO fraud exploits hierarchy and confidentiality pressure","Verify any financial requests directly with the requester via phone before acting."
A003,"HR Department: Please complete your mandatory compliance form before 5PM today or face disciplinary action.",authority,email,easy,"Authority plus deadline combo to force compliance","Check with HR directly through official channels not by clicking email links."
A004,"Your account manager has requested you update your billing information before your next invoice is generated.",authority,email,medium,"Impersonates a known business contact role","Log into your account directly through the official website never via email links."
A005,"Security Team Alert: We detected a login from an unrecognized device. Verify your identity within 10 minutes.",authority,sms,medium,"Security team impersonation with tight time pressure","Go directly to the official app or website to check for real security alerts."
A006,"This is your bank's fraud prevention team. To protect your account please confirm your card number now.",authority,phone,hard,"Professional tone plus fraud protection framing lowers guard","Hang up and call your bank directly using the number on the back of your card."
A007,"Your company's IT policy requires all employees to install this security certificate update immediately.",authority,email,hard,"Policy compliance framing makes refusal seem risky","Contact IT through your company's internal helpdesk to verify any required software updates."
A008,"As per the new company security policy all staff must re-verify credentials via this secure portal by EOD.",authority,email,hard,"Policy framing gives official legitimacy to credential harvesting","Company policy changes are announced through official intranet channels not email links."
A009,"Our records show you have not completed identity verification. As the IT manager I must insist you do this today.",authority,email,medium,"IT manager impersonation with soft insistence","Verify IT requests by calling the IT helpdesk number from your company directory."
A010,"Legal Department: You are required to sign the attached confidentiality agreement before your next shift.",authority,email,medium,"Legal authority framing compels compliance","Official legal documents are distributed through verified HR or legal portals."
A011,"This is a message from your department head. Please approve the attached budget amendment as soon as possible.",authority,email,hard,"Department head impersonation with routine-looking task","Call your department head directly to confirm before approving any financial documents."
A012,"System Administrator: Your email quota is full. Click here to expand your storage immediately.",authority,email,easy,"Sysadmin persona used to harvest credentials","Storage issues are managed through official IT portals never through email links."
U001,"URGENT: Your account will be permanently deleted in 2 hours unless you verify your identity now!",urgency,email,easy,"Extreme urgency to prevent rational thinking","Legitimate services give advance notice. Extreme urgency is a red flag."
U002,"Last chance: Your subscription expires tonight. Click here to renew and avoid losing your data.",urgency,email,easy,"Loss aversion plus deadline drives impulsive clicking","Log into your account directly to check subscription status."
U003,"You have 15 minutes to respond or your package will be returned to sender. Confirm delivery address here.",urgency,sms,medium,"Parcel delivery scam with tight countdown","Check package status directly through the official courier website."
U004,"IMMEDIATE ACTION REQUIRED: Suspicious transaction detected. Approve or deny within 5 minutes.",urgency,sms,medium,"Financial urgency bypasses verification instinct","Contact your bank directly never via SMS links."
U005,"System alert: Your session will expire. Re-enter credentials to stay logged in.",urgency,browser_popup,easy,"Fake session timeout harvests credentials","Real session timeouts do not ask for full credentials. Close and log in normally."
U006,"Act now your IT access will be suspended at midnight due to incomplete profile verification.",urgency,email,hard,"Business-context urgency feels plausible and official","Verify with IT directly through the company intranet not email links."
U007,"Emergency maintenance window starts in 30 minutes. Submit your VPN credentials to IT to ensure continuity.",urgency,email,hard,"Urgency plus technical context makes it feel legitimate","VPN credentials are never collected by IT via email under any circumstances."
U008,"Your two-factor authentication is about to expire. Re-enroll now to avoid being locked out.",urgency,sms,hard,"2FA urgency exploits fear of losing account access","Manage 2FA through your account security settings directly never via SMS links."
U009,"WARNING: Suspicious charges on your card. Confirm or deny within 3 hours to avoid account freeze.",urgency,sms,medium,"Financial threat with time limit forces impulsive action","Call your bank directly using the official number never through links in SMS."
U010,"Your password expires in 1 hour. Update it now before you lose access to your files.",urgency,email,medium,"Password expiry panic is commonly exploited","Password changes are done through official IT portals. You will always get advance notice."
U011,"Final boarding call: Your e-ticket will expire in 10 minutes. Reconfirm your booking now.",urgency,email,easy,"Travel urgency creates panic even for non-travelers","Check bookings directly on the airline or travel platform website."
U012,"Payroll alert: Your direct deposit details have not been updated. Submit them before midnight or miss this month.",urgency,email,hard,"Payroll urgency exploits financial anxiety","HR manages payroll updates through the official employee portal not email links."
S001,"Only 3 seats left for the mandatory cybersecurity training you registered for. Confirm your spot now.",scarcity,email,easy,"False scarcity on a mandatory event triggers action","Verify training schedules through your official HR or learning management system."
S002,"Exclusive: Only 10 employees selected for the new company benefits upgrade. Claim yours before it expires.",scarcity,email,medium,"Exclusivity plus scarcity plus benefit framing is compelling","Check with HR directly before providing any information for exclusive offers."
S003,"Final notice: Your free cloud storage upgrade expires in 24 hours. Activate now before someone else takes it.",scarcity,email,easy,"Artificial scarcity creates FOMO","Log into your cloud account directly to check for any legitimate upgrades."
S004,"Limited access granted: You have been selected for early access to our new security portal. Register in the next hour.",scarcity,email,medium,"Flattery plus scarcity plus legitimacy combo","Real early access programs do not require immediate sign-up under time pressure."
S005,"This is your final opportunity to verify your account before stricter security rules take effect tomorrow.",scarcity,email,hard,"Policy change framing makes scarcity feel institutional","Check company policy updates through official internal communications."
S006,"Only available until midnight: Download your mandatory compliance certificate before the link expires.",scarcity,email,hard,"Deadline on a mandatory item is hard to ignore","Compliance certificates are managed through official HR systems not email links."
S007,"You have been shortlisted for a limited beta access to our new enterprise security platform. Register by Friday.",scarcity,email,medium,"Beta exclusivity plus deadline creates professional FOMO","Verify product launches and beta invites directly on the vendor's official website."
S008,"This is your last reminder: claim your complimentary cybersecurity assessment before the offer closes.",scarcity,email,easy,"Free professional offer with deadline prompts action","Verify such offers directly with the company using their official contact details."
S009,"Premium support upgrade available for the next 24 hours to account holders who respond to this message.",scarcity,email,medium,"Urgency plus upgrade framing makes it feel like a benefit","Log into your account directly to check for any available upgrades."
SP001,"Your entire team has already completed the security verification update. You are the only one who has not.",social_proof,email,easy,"Peer pressure plus outlier shaming drives compliance","Team-wide actions are communicated through official channels not individual emails."
SP002,"98% of employees in your department have updated their login credentials following the new policy. Please do the same.",social_proof,email,medium,"Majority pressure with specific statistic feels credible","Verify policy updates through the company intranet not email requests."
SP003,"Your colleagues have confirmed their attendance at the emergency meeting. Please RSVP using the link below.",social_proof,email,medium,"Peer confirmation creates social obligation","Check meeting invitations through your official calendar not email links."
SP004,"Everyone on your floor has installed the new remote access tool. Here is the link for your installation.",social_proof,email,hard,"Normalization of a malicious download through peer reference","Software installations are managed by IT. Never install from email links."
SP005,"Your manager and teammates have already signed the updated NDA. Please sign yours using this DocuSign link.",social_proof,email,hard,"Real platform name plus peer action makes it convincing","Verify document requests directly with your manager before clicking any links."
SP006,"Most users on your network have already opted into the new authentication system. Update your settings here.",social_proof,browser_popup,medium,"Normalization framing on a popup harvests credentials","System-wide authentication changes are handled by IT. Close and contact IT."
SP007,"Your security awareness score is below the company average. Complete this quick assessment to catch up.",social_proof,email,hard,"Below-average framing creates social pressure to comply","Security assessments are assigned through official LMS platforms not unsolicited emails."
SP008,"Your teammates rated this training mandatory. You are one of the few who have not started yet.",social_proof,email,medium,"Team social pressure with outlier labeling","Check training assignments through your official learning management system."
SP009,"Four of your direct colleagues have already flagged this security alert. We need your input too.",social_proof,email,hard,"Peer action on a security issue feels credible and urgent","Contact colleagues directly to verify. Do not click links in unsolicited group-action emails."
SP010,"Everyone in your role has updated their two-factor authentication this week. Please do the same.",social_proof,email,medium,"Role-based peer pressure normalizes the request","2FA updates are done through official account security settings never via email links."
R001,"We have added a free $10 credit to your account as a thank you. Please verify your payment details to claim it.",reciprocity,email,easy,"Gift framing creates obligation to give something back","Legitimate credits appear in your account automatically. No verification needed."
R002,"As a valued customer we have upgraded your plan for free. Confirm your account details to activate the upgrade.",reciprocity,email,medium,"Free upgrade framing lowers guard and creates gratitude","Log into your account directly to check for any real upgrades."
R003,"We sent you a $25 voucher as appreciation. Please confirm your email to receive it.",reciprocity,email,easy,"Gift plus email confirmation harvests valid email","Unsolicited gifts from companies you did not engage with recently are almost always scams."
R004,"Your IT team fixed a critical issue on your account overnight. Please log in to confirm everything is working.",reciprocity,email,medium,"Favor done plus action requested exploits felt obligation","IT actions are logged in your IT ticketing system. Verify there before clicking."
R005,"We waived your late fee as a one-time courtesy. Click here to view your updated account balance.",reciprocity,email,hard,"Financial favor plus account review click harvests credentials","Log into your account directly through the official website to check balances."
R006,"As a gesture of goodwill we have extended your trial. Verify your details to continue uninterrupted access.",reciprocity,email,hard,"Continued access framing makes credential entry feel necessary","Log in directly to your account to check trial status never via email links."
R007,"Your referral bonus of $50 has been approved. Click here to confirm your bank details to receive payment.",reciprocity,email,hard,"Financial reward makes credential entry feel justified","Log into the platform directly to check for any referral rewards in your account."
R008,"Thank you for being a loyal member. We have waived your annual fee. Verify your billing details to confirm.",reciprocity,email,medium,"Loyalty reward plus verification harvests payment data","Log into your account directly to check membership status and fee waivers."
R009,"Your complaint has been resolved and a refund issued. Confirm your bank account details to receive it.",reciprocity,email,hard,"Complaint resolution framing makes account detail entry feel logical","Refunds are processed to your original payment method automatically. No confirmation needed."
R010,"As a thank you for completing our survey we have credited your account. Validate your identity to access it.",reciprocity,email,medium,"Survey reward plus identity validation harvests credentials","Log into your account directly to check for credits never via survey email links."
F001,"Hi Sarah your manager James mentioned you are the best person to handle this urgent request.",familiarity,email,medium,"Name-drops known contacts to build false familiarity","Be suspicious of emails using personal details you did not provide. Verify with James directly."
